Launch_Id,Launch_Time,Launch_Status,Launch_Suborbital,Rocket_Name,Rocket_Organisation,Rocket_Price,Rocket_Payload_to_LEO,Location,Launch_Year,Launch_Year_Mon,USD_kg_to_LEO,X2021_Mult,USD_kg_to_LEO_CPI_Adjusted,Rocket_Price_CPI_Adjusted,Dum,Family_Id,Config_Number,Config_Status,Config_Price,Liftoff_Thrust,Payload_to_LEO,Payload_to_GTO,Stages,Strap_Ons,Rocket_Height,Fairing_Diameter,Fairing_Height,Mission_Number,Payloads,Mass
12,2012-10-08T00:35:00Z,Partial Failure,Orbital,Falcon 9 Block 1 (v1.0),SpaceX,59.5,10450,"SLC-40, Cape Canaveral SFS, Florida, USA",2012,2012-10,56937.799043062194,1.1802137686524912,67198.77438739064,70.22271923482323,1,3,1,Retired,$59.5 million,"4,940 kN","10,450 kg","4,540 kg",2,0,54.9 m,5.2 m,13.0 m,1,1,6305
12,2012-10-08T00:35:00Z,Partial Failure,Orbital,Falcon 9 Block 1 (v1.0),SpaceX,59.5,10450,"SLC-40, Cape Canaveral SFS, Florida, USA",2012,2012-10,56937.799043062194,1.1802137686524912,67198.77438739064,70.22271923482323,1,3,1,Retired,$59.5 million,"4,940 kN","10,450 kg","4,540 kg",2,0,54.9 m,5.2 m,13.0 m,2,1,150
13,2013-03-01T15:10:00Z,Success,Orbital,Falcon 9 Block 1 (v1.0),SpaceX,59.5,10450,"SLC-40, Cape Canaveral SFS, Florida, USA",2013,2013-03,56937.799043062194,1.16317603677932,66228.68343384644,69.20897418836954,1,3,1,Retired,$59.5 million,"4,940 kN","10,450 kg","4,540 kg",2,0,54.9 m,5.2 m,13.0 m,1,1,6298
14,2013-09-29T16:00:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-4E, Vandenberg SFB, California, USA",2013,2013-09,42965.77946768061,1.16317603677932,49976.76507835101,65.71944607803158,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,1,1,500
14,2013-09-29T16:00:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-4E, Vandenberg SFB, California, USA",2013,2013-09,42965.77946768061,1.16317603677932,49976.76507835101,65.71944607803158,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,2,5,80
15,2013-12-03T22:41:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2013,2013-12,42965.77946768061,1.16317603677932,49976.76507835101,65.71944607803158,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,1,1,3200
16,2014-01-06T22:06:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2014,2014-01,42965.77946768061,1.144608340091917,49178.989517257265,64.6703712151933,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,1,1,3325
17,2014-04-18T19:25:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2014,2014-04,42965.77946768061,1.144608340091917,49178.989517257265,64.6703712151933,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,1,1,7489
18,2014-07-14T15:15:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2014,2014-07,42965.77946768061,1.144608340091917,49178.989517257265,64.6703712151933,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,1,6,1032
19,2014-08-05T08:00:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2014,2014-08,42965.77946768061,1.144608340091917,49178.989517257265,64.6703712151933,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,1,1,4535
21,2014-09-21T05:52:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2014,2014-09,42965.77946768061,1.144608340091917,49178.989517257265,64.6703712151933,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,1,1,NA
20,2014-09-07T05:00:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2014,2014-09,42965.77946768061,1.144608340091917,49178.989517257265,64.6703712151933,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,1,1,4428
22,2015-01-10T09:47:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2015,2015-01,42965.77946768061,1.143251327963817,49120.68443342636,64.59370002995566,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,1,NA,7717
23,2015-02-11T23:03:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2015,2015-02,42965.77946768061,1.143251327963817,49120.68443342636,64.59370002995566,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,1,1,570
25,2015-04-14T20:10:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2015,2015-04,42965.77946768061,1.143251327963817,49120.68443342636,64.59370002995566,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,1,NA,7415
24,2015-03-02T03:50:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2015,2015-03,42965.77946768061,1.143251327963817,49120.68443342636,64.59370002995566,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,1,1,1954
24,2015-03-02T03:50:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2015,2015-03,42965.77946768061,1.143251327963817,49120.68443342636,64.59370002995566,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,2,1,2205
27,2015-06-28T14:21:00Z,Failure,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2015,2015-06,42965.77946768061,1.143251327963817,49120.68443342636,64.59370002995566,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,1,NA,7325
26,2015-04-27T23:03:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2015,2015-04,42965.77946768061,1.143251327963817,49120.68443342636,64.59370002995566,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,1,1,4707
28,2015-12-22T01:29:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2015,2015-12,27192.98245614035,1.143251327963817,31088.413304279235,70.88158233375665,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,11,2034
29,2016-01-17T18:42:00Z,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-4E, Vandenberg SFB, California, USA",2016,2016-01,42965.77946768061,1.1290087372451638,48508.74042156027,63.78899365435176,1,3,2,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m,1,1,553
30,2016-03-04T23:35:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-03,27192.98245614035,1.1290087372451638,30701.11478473691,69.99854170920015,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,5217
31,2016-04-08T20:43:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-04,27192.98245614035,1.1290087372451638,30701.11478473691,69.99854170920015,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,NA,8536
32,2016-05-06T05:21:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-05,27192.98245614035,1.1290087372451638,30701.11478473691,69.99854170920015,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,4696
33,2016-05-27T21:39:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-05,27192.98245614035,1.1290087372451638,30701.11478473691,69.99854170920015,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,3100
34,2016-06-15T14:29:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-06,27192.98245614035,1.1290087372451638,30701.11478473691,69.99854170920015,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,2000
34,2016-06-15T14:29:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-06,27192.98245614035,1.1290087372451638,30701.11478473691,69.99854170920015,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,2,1,2000
35,2016-07-18T04:45:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-07,27192.98245614035,1.1290087372451638,30701.11478473691,69.99854170920015,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,NA,7657
37,2016-09-01T13:07:00Z,Prelaunch Failure,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-09,27192.98245614035,1.1290087372451638,30701.11478473691,69.99854170920015,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,5500
36,2016-08-14T05:26:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-08,27192.98245614035,1.1290087372451638,30701.11478473691,69.99854170920015,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,4600
38,2017-01-14T17:54:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2017,2017-01,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,10,9600
39,2017-02-19T14:39:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-02,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,NA,7890
41,2017-03-30T22:27:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-03,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,5300
40,2017-03-16T06:00:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-03,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,5600
43,2017-05-15T23:21:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-05,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,6070
44,2017-06-03T21:07:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-06,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,8108
42,2017-05-01T11:15:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-05,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,NA
45,2017-06-23T19:10:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-06,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,3669
46,2017-06-25T20:25:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2017,2017-06,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,10,9600
47,2017-07-05T23:38:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-07,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,6761
48,2017-08-14T16:31:00Z,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-08,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,4,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,NA,8310
50,2017-09-07T14:00:00Z,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-09,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,4,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,4990
49,2017-08-24T18:51:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2017,2017-08,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,475
52,2017-10-11T22:53:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-10,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,5200
51,2017-10-09T12:37:00Z,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2017,2017-10,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,4,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,10,9600
53,2017-10-30T19:34:00Z,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-10,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,4,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,3500
54,2017-12-15T15:36:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2017,2017-12,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,7605
56,2018-01-08T01:00:00Z,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-01,27192.98245614035,1.079101737506322,29343.99461639999,66.90430772539197,1,3,4,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,NA
55,2017-12-23T01:27:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2017,2017-12,27192.98245614035,1.1054585509138382,30060.714980990335,68.53843015665797,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,10,9600
57,2018-01-31T21:25:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-01,27192.98245614035,1.079101737506322,29343.99461639999,66.90430772539197,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,4230
58,2018-02-22T14:17:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2018,2018-02,27192.98245614035,1.079101737506322,29343.99461639999,66.90430772539197,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,1341
58,2018-02-22T14:17:00Z,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2018,2018-02,27192.98245614035,1.079101737506322,29343.99461639999,66.90430772539197,1,3,3,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,2,2,800
59,2018-03-06T05:33:00Z,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-03,27192.98245614035,1.079101737506322,29343.99461639999,66.90430772539197,1,3,4,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,2,6092
60,2018-03-30T14:13:00Z,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2018,2018-03,27192.98245614035,1.079101737506322,29343.99461639999,66.90430772539197,1,3,4,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,10,9600
62,2018-05-11T20:14:00Z,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"LC-39A, Kennedy Space Center, Florida, USA",2018,2018-05,21929.824561403508,1.079101737506322,23664.511787419346,53.955086875316105,1,3,5,Active,$50.0 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,3600
61,2018-04-02T20:30:00Z,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-04,27192.98245614035,1.079101737506322,29343.99461639999,66.90430772539197,1,3,4,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,2647
63,2018-07-22T05:50:00Z,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-07,21929.824561403508,1.079101737506322,23664.511787419346,53.955086875316105,1,3,5,Active,$50.0 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,7080
64,2018-07-25T11:39:00Z,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-4E, Vandenberg SFB, California, USA",2018,2018-07,21929.824561403508,1.079101737506322,23664.511787419346,53.955086875316105,1,3,5,Active,$50.0 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,10,9600
65,2018-09-10T04:45:00Z,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-09,21929.824561403508,1.079101737506322,23664.511787419346,53.955086875316105,1,3,5,Active,$50.0 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,7060
66,2018-08-07T05:18:00Z,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-08,21929.824561403508,1.079101737506322,23664.511787419346,53.955086875316105,1,3,5,Active,$50.0 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,5800
67,2018-11-15T20:46:00Z,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"LC-39A, Kennedy Space Center, Florida, USA",2018,2018-11,21929.824561403508,1.079101737506322,23664.511787419346,53.955086875316105,1,3,5,Active,$50.0 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,3000
